itemid,frequency_rank,label,fluid,category,loinc_code
50855,517,Absolute Hemoglobin,Blood,Chemistry,
50854,518,Absolute A1c,Blood,Chemistry,
51725,519,Rubeola IgG Ab,Blood,Chemistry,
51987,520,Nitrite,Urine,Chemistry,
51985,521,Leukocytes,Urine,Chemistry,
51966,522,Bilirubin,Urine,Chemistry,
52002,523,Urobilinogen,Urine,Chemistry,
51199,524,Eosinophil Count,Blood,Hematology,
52730,525,pH,Urine,Chemistry,
51967,526,Blood,Urine,Chemistry,
50901,527,Centromere,Blood,Chemistry,
51796,528,"Miscellaneous, CSF",Cerebrospinal Fluid,Chemistry,
51454,529,Plasma Cells,Pleural,Hematology,
